id,admin0_nom,admin1_nom,admin2_nom,admin3_nom,annee,homme,femme,source
87,Mali,Kayes,Kita,Kokofata,1998,7090,7248,RGPH
88,Mali,Kayes,Kita,Kotouba,1998,1131,1190,RGPH
89,Mali,Kayes,Kita,Koulou,1998,2690,2751,RGPH
90,Mali,Kayes,Kita,Kourounikoto,1998,1613,1634,RGPH
91,Mali,Kayes,Kita,Madina,1998,6687,6760,RGPH
92,Mali,Kayes,Kita,Makano,1998,4087,4054,RGPH
93,Mali,Kayes,Kita,Namala Guimba,1998,4318,4272,RGPH
94,Mali,Kayes,Kita,Niantanso,1998,1985,2020,RGPH
95,Mali,Kayes,Kita,Saboula,1998,3805,3258,RGPH
96,Mali,Kayes,Kita,Sebekoro,1998,9133,9310,RGPH
97,Mali,Kayes,Kita,Sefeto Nord,1998,3845,4192,RGPH
98,Mali,Kayes,Kita,Sefeto Ouest,1998,7134,7556,RGPH
99,Mali,Kayes,Kita,Senko,1998,3870,3943,RGPH
100,Mali,Kayes,Kita,Sirakoro,1998,4440,4409,RGPH
101,Mali,Kayes,Kita,Souransan Tomoto,1998,2496,2508,RGPH
102,Mali,Kayes,Kita,Tambaga,1998,3482,3643,RGPH
103,Mali,Kayes,Kita,Toukoto,1998,3385,3097,RGPH
104,Mali,Kayes,Nioro,Baniere Kore,1998,2501,2332,RGPH
105,Mali,Kayes,Nioro,Diabigue,1998,3773,3790,RGPH
106,Mali,Kayes,Nioro,Diarra,1998,2745,2910,RGPH
107,Mali,Kayes,Nioro,Diaye Coura,1998,4682,5144,RGPH
108,Mali,Kayes,Nioro,Gavinane,1998,5008,5358,RGPH
109,Mali,Kayes,Nioro,Gogui,1998,4573,5067,RGPH
110,Mali,Kayes,Nioro,Guetema,1998,3688,3934,RGPH
111,Mali,Kayes,Nioro,Kadiaba Kadiel,1998,3948,3949,RGPH
112,Mali,Kayes,Nioro,Korera Kore,1998,6990,7806,RGPH
113,Mali,Kayes,Nioro,Nioro Commune,1998,10884,11382,RGPH
114,Mali,Kayes,Nioro,Nioro Tougoune Ranga,1998,5273,4911,RGPH
115,Mali,Kayes,Nioro,Sandare,1998,8015,8510,RGPH
116,Mali,Kayes,Nioro,Simbi,1998,6066,6537,RGPH
117,Mali,Kayes,Nioro,Troungoumbe,1998,4759,5229,RGPH
118,Mali,Kayes,Nioro,Yerere,1998,5726,6157,RGPH
119,Mali,Kayes,Nioro,Youri,1998,1913,2148,RGPH
120,Mali,Kayes,Yelimane,Diafounou Diongaga,1998,3381,3696,RGPH
121,Mali,Kayes,Yelimane,Diafounou Gory,1998,6704,7457,RGPH
122,Mali,Kayes,Yelimane,Fanga,1998,2559,2811,RGPH
123,Mali,Kayes,Yelimane,Gory,1998,3954,4690,RGPH
124,Mali,Kayes,Yelimane,Guidime,1998,12793,14328,RGPH
125,Mali,Kayes,Yelimane,Kirane Kaniaga,1998,11119,12610,RGPH
126,Mali,Kayes,Yelimane,Kremis,1998,3206,3529,RGPH
127,Mali,Kayes,Yelimane,Marekaffo,1998,1577,1822,RGPH
128,Mali,Kayes,Yelimane,Soumpou,1998,1661,1698,RGPH
129,Mali,Kayes,Yelimane,Toya,1998,4131,4777,RGPH
130,Mali,Kayes,Yelimane,Tringa,1998,4581,5355,RGPH
131,Mali,Koulikouro,Koulikoro,Dinandougou,1998,7581,7527,RGPH
132,Mali,Koulikouro,Koulikoro,Doumba,1998,2974,3117,RGPH
133,Mali,Koulikouro,Koulikoro,Koula,1998,10266,10533,RGPH
134,Mali,Koulikouro,Koulikoro,Koulikoro Commune,1998,14237,14433,RGPH
135,Mali,Koulikouro,Koulikoro,Meguetan,1998,8537,8440,RGPH
136,Mali,Koulikouro,Koulikoro,Nyamina,1998,13362,13697,RGPH
137,Mali,Koulikouro,Koulikoro,Sirakorola,1998,12940,13103,RGPH
138,Mali,Koulikouro,Koulikoro,Tienfala,1998,2039,1997,RGPH
139,Mali,Koulikouro,Koulikoro,Tougouni,1998,4318,4384,RGPH
140,Mali,Koulikouro,Banamba,Banamba,1998,11755,12178,RGPH
141,Mali,Koulikouro,Banamba,Boron,1998,15223,15090,RGPH
142,Mali,Koulikouro,Banamba,Duguwolowula,1998,16204,16210,RGPH
143,Mali,Koulikouro,Banamba,Kiban,1998,4520,4559,RGPH
144,Mali,Koulikouro,Banamba,Madina Sacko,1998,8507,8808,RGPH
145,Mali,Koulikouro,Banamba,Sebete,1998,1503,1588,RGPH
146,Mali,Koulikouro,Banamba,Toubacoro,1998,5146,5141,RGPH
147,Mali,Koulikouro,Banamba,Toukoroba,1998,4489,4542,RGPH
148,Mali,Koulikouro,Dioila,Banco,1998,12011,12585,RGPH
149,Mali,Koulikouro,Dioila,Benkadi,1998,2998,3035,RGPH
150,Mali,Koulikouro,Dioila,Binko,1998,6559,6703,RGPH
