id,admin0_nom,admin1_nom,admin2_nom,admin3_nom,homme_1998,homme_2009,femme_1998,femme_2009,source
80,Mali,Kayes,Kita,Gadougou 2,2314,4506,2354,4765,RGPH
81,Mali,Kayes,Kita,Guemoukouraba,2882,4816,3400,5313,RGPH
82,Mali,Kayes,Kita,Kassaro,5885,10673,6033,10933,RGPH
83,Mali,Kayes,Kita,Kita Commune,15852,24054,16009,24989,RGPH
84,Mali,Kayes,Kita,Kita Nord,3.00E+03,4.34E+03,2969,4232,RGPH
85,Mali,Kayes,Kita,Kita Ouest,5774,8199,5967,8563,RGPH
86,Mali,Kayes,Kita,Kobri,6354,7472,6142,7732,RGPH
87,Mali,Kayes,Kita,Kokofata,7090,10862,7248,11222,RGPH
88,Mali,Kayes,Kita,Kotouba,1131,2917,1190,2901,RGPH
89,Mali,Kayes,Kita,Koulou,2690,5126,2751,5406,RGPH
90,Mali,Kayes,Kita,Kourounikoto,1613,2799,1634,2706,RGPH
91,Mali,Kayes,Kita,Madina,6687,6876,6760,7149,RGPH
92,Mali,Kayes,Kita,Makano,4087,5485,4054,5544,RGPH
93,Mali,Kayes,Kita,Namala Guimba,4318,5910,4272,6004,RGPH
94,Mali,Kayes,Kita,Niantanso,1985,2542,2020,2588,RGPH
95,Mali,Kayes,Kita,Saboula,3805,3031,3258,3153,RGPH
96,Mali,Kayes,Kita,Sebekoro,9133,16275,9310,16540,RGPH
97,Mali,Kayes,Kita,Sefeto Nord,3845,5425,4192,6133,RGPH
98,Mali,Kayes,Kita,Sefeto Ouest,7134,8308,7556,9149,RGPH
99,Mali,Kayes,Kita,Senko,3870,4115,3943,4166,RGPH
100,Mali,Kayes,Kita,Sirakoro,4440,5169,4409,5429,RGPH
101,Mali,Kayes,Kita,Souransan Tomoto,2496,4163,2508,4357,RGPH
102,Mali,Kayes,Kita,Tambaga,3482,5333,3643,5149,RGPH
103,Mali,Kayes,Kita,Toukoto,3385,3399,3097,3563,RGPH
104,Mali,Kayes,Nioro,Baniere Kore,2501,4519,2332,4930,RGPH
105,Mali,Kayes,Nioro,Diabigue,3773,4492,3790,4916,RGPH
106,Mali,Kayes,Nioro,Diarra,2745,3424,2910,3713,RGPH
107,Mali,Kayes,Nioro,Diaye Coura,4682,6556,5144,7161,RGPH
108,Mali,Kayes,Nioro,Gavinane,5008,7676,5358,8003,RGPH
109,Mali,Kayes,Nioro,Gogui,4573,6186,5067,6761,RGPH
110,Mali,Kayes,Nioro,Guetema,3688,4484,3934,4848,RGPH
111,Mali,Kayes,Nioro,Kadiaba Kadiel,3948,4982,3949,4944,RGPH
112,Mali,Kayes,Nioro,Korera Kore,6990,9453,7806,9974,RGPH
113,Mali,Kayes,Nioro,Nioro Commune,10884,17258,11382,16433,RGPH
114,Mali,Kayes,Nioro,Nioro Tougoune Ranga,5273,6410,4911,6791,RGPH
115,Mali,Kayes,Nioro,Sandare,8015,12597,8510,13019,RGPH
116,Mali,Kayes,Nioro,Simbi,6066,9786,6537,10307,RGPH
117,Mali,Kayes,Nioro,Troungoumbe,4759,5981,5229,6507,RGPH
118,Mali,Kayes,Nioro,Yerere,5726,6567,6157,6920,RGPH
119,Mali,Kayes,Nioro,Youri,1913,3351,2148,3765,RGPH
120,Mali,Kayes,Yelimane,Diafounou Diongaga,3381,4663,3696,5015,RGPH
121,Mali,Kayes,Yelimane,Diafounou Gory,6704,9659,7457,10591,RGPH
122,Mali,Kayes,Yelimane,Fanga,2559,3862,2811,4071,RGPH
123,Mali,Kayes,Yelimane,Gory,3954,6131,4690,6470,RGPH
124,Mali,Kayes,Yelimane,Guidime,12793,19403,14328,20420,RGPH
125,Mali,Kayes,Yelimane,Kirane Kaniaga,11119,16863,12610,18034,RGPH
126,Mali,Kayes,Yelimane,Kremis,3206,5473,3529,5571,RGPH
127,Mali,Kayes,Yelimane,Marekaffo,1577,2501,1822,2823,RGPH
128,Mali,Kayes,Yelimane,Soumpou,1661,2364,1698,2489,RGPH
129,Mali,Kayes,Yelimane,Toya,4131,5953,4777,6691,RGPH
