source,adm0_pcode,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,homme,femme
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010301,Bangassi,3351,3263
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010302,Colimbine,4828,4913
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010303,Diamou,6361,6189
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010304,Djelebou,7903,8403
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010305,Faleme,3232,3309
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010306,Fegui,1333,1355
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010307,Gory Gopela,2682,2614
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010308,Goumera,1295,1294
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010309,Guidimakan Keri Kaff,6713,7521
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010310,Hawa Dembaya,2517,2601
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010311,Karakoro,5461,6216
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010312,Kayes Commune,34236,33188
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010313,Kemene Tambo,6564,6702
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010314,Khouloum,4377,4563
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010315,Koniakary,3371,3652
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010707,Konsiga,1371,1653
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010316,Koussane,6716,7460
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010317,Liberte Dembaya,3722,3518
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010318,Logo,4743,5224
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010319,Marena Diombougou,6023,6880
