source,adm0_pcode,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,homme,femme
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010407,Guenegore,3248,3339
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010408,Kassama,9503,9959
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010409,Kenieba,17884,17767
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010410,Kouroukoto,5069,5251
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010411,Sagalo,6728,7560
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010412,Sitakily,16144,14010
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010501,Badia,3487,3650
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010502,Bendougouba,5882,6043
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010503,Benkadi Founia,4627,4657
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010504,Boudofo,2263,2214
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010505,Bougarybaya,4831,5254
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010506,Dindanko,4927,5020
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010507,Djidian,7883,8509
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010508,Djougoun,4012,4420
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010509,Gadougou 1,12510,12865
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010510,Gadougou 2,4506,4765
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010511,Guemoukouraba,4816,5313
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010512,Kassaro,10673,10933
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010513,Kita Commune,24054,24989
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010514,Kita Nord,4336,4232
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010515,Kita Ouest,8199,8563
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010516,Kobri,7472,7732
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010517,Kokofata,10862,11222
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010518,Kotouba,2917,2901
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010519,Koulou,5126,5406
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010520,Kourounikoto,2799,2706
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010521,Madina,6876,7149
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010522,Makano,5485,5544
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010523,Namala Guimba,5910,6004
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010524,Niantanso,2542,2588
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010525,Saboula,3031,3153
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010526,Sebekoro,16275,16540
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010527,Sefeto Nord,5425,6133
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010528,Sefeto Ouest,8308,9149
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010529,Senko,4115,4166
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010530,Sirakoro,5169,5429
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010531,Souransan Tomoto,4163,4357
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010532,Tambaga,5333,5149
RGPH,ML,Mali,ML01,Kayes,ML0105,Kita,ML010533,Toukoto,3399,3563
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010601,Baniere Kore,4519,4930
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010602,Diabigue,4492,4916
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010603,Diarra,3424,3713
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010604,Diaye Coura,6556,7161
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010605,Gavinane,7676,8003
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010606,Gogui,6186,6761
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010607,Guetema,4484,4848
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010608,Kadiaba Kadiel,4982,4944
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010609,Korera Kore,9453,9974
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010610,Nioro Commune,17258,16433
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010611,Nioro Tougoune Ranga,6410,6791
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010612,Sandare,12597,13019
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010613,Simbi,9786,10307
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010614,Troungoumbe,5981,6507
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010615,Yerere,6567,6920
RGPH,ML,Mali,ML01,Kayes,ML0106,Nioro,ML010616,Youri,3351,3765
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010701,Diafounou Diongaga,4663,5015
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010702,Diafounou Gory,9659,10591
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010703,Fanga,3862,4071
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010704,Gory,6131,6470
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010705,Guidime,19403,20420
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010706,Kirane Kaniaga,16863,18034
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010708,Kremis,5473,5571
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010709,Marekaffo,2501,2823
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010710,Soumpou,2364,2489
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010711,Toya,5953,6691
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010712,Tringa,5966,6576
RGPH,ML,Mali,ML02,Koulikouro,ML0206,Koulikoro,ML020601,Dinandougou,10571,10789
RGPH,ML,Mali,ML02,Koulikouro,ML0206,Koulikoro,ML020602,Doumba,3695,3768
RGPH,ML,Mali,ML02,Koulikouro,ML0206,Koulikoro,ML020603,Koula,11662,11786
RGPH,ML,Mali,ML02,Koulikouro,ML0206,Koulikoro,ML020604,Koulikoro Commune,20943,20659
RGPH,ML,Mali,ML02,Koulikouro,ML0206,Koulikoro,ML020605,Meguetan,12889,12504
RGPH,ML,Mali,ML02,Koulikouro,ML0206,Koulikoro,ML020606,Nyamina,17904,17881
RGPH,ML,Mali,ML02,Koulikouro,ML0206,Koulikoro,ML020607,Sirakorola,18038,17954
RGPH,ML,Mali,ML02,Koulikouro,ML0206,Koulikoro,ML020608,Tienfala,3514,3474
RGPH,ML,Mali,ML02,Koulikouro,ML0206,Koulikoro,ML020609,Tougouni,6315,6265
RGPH,ML,Mali,ML02,Koulikouro,ML0201,Banamba,ML020101,Banamba,15851,16029
RGPH,ML,Mali,ML02,Koulikouro,ML0201,Banamba,ML020103,Boron,18898,19208
RGPH,ML,Mali,ML02,Koulikouro,ML0201,Banamba,ML020104,Duguwolowula,21658,21368
RGPH,ML,Mali,ML02,Koulikouro,ML0201,Banamba,ML020105,Kiban,6194,6195
RGPH,ML,Mali,ML02,Koulikouro,ML0201,Banamba,ML020106,Madina Sacko,12924,13219
RGPH,ML,Mali,ML02,Koulikouro,ML0201,Banamba,ML020107,Sebete,2015,2045
RGPH,ML,Mali,ML02,Koulikouro,ML0201,Banamba,ML020108,Toubacoro,7118,7256
RGPH,ML,Mali,ML02,Koulikouro,ML0201,Banamba,ML020109,Toukoroba,5892,6063
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020201,Banco,16039,16940
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020202,Benkadi,3811,4088
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020203,Binko,9849,10048
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020204,Degnekoro,4883,5199
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020205,Diebe,4129,4575
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020206,Diedougou,17541,18351
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020207,Diouman,8003,8277
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020208,Dolendougou,6831,7389
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020209,Guegneka,23949,24092
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020210,Jekafo,3241,3400
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020211,Kaladougou,19429,19742
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020212,Kemekafo,12253,12181
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020213,Kerela,6280,6346
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020214,Kilidougou,7578,7930
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020215,Massigui,26249,28003
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020216,Nangola,9169,9436
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020217,N'dlondougou,10326,10667
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020218,N'garadougou,7633,7960
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020219,N'golobougou,10272,10753
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020220,Niantjila,6837,7466
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020221,Tenindougou,7681,7725
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020222,Wacoro,7441,7559
RGPH,ML,Mali,ML02,Koulikouro,ML0202,Dioila,ML020223,Zan Coulibaly,9235,9255
RGPH,ML,Mali,ML02,Koulikouro,ML0203,Kangaba,ML020301,Balan Bakama,3404,3487
RGPH,ML,Mali,ML02,Koulikouro,ML0203,Kangaba,ML020302,Benkadi,4741,4694
RGPH,ML,Mali,ML02,Koulikouro,ML0203,Kangaba,ML020303,Kaniogo,8308,8477
RGPH,ML,Mali,ML02,Koulikouro,ML0203,Kangaba,ML020304,Karan Commune,3134,3242
RGPH,ML,Mali,ML02,Koulikouro,ML0203,Kangaba,ML020305,Maramandougou,7237,7302
RGPH,ML,Mali,ML02,Koulikouro,ML0203,Kangaba,ML020306,Minidian,9012,9113
RGPH,ML,Mali,ML02,Koulikouro,ML0203,Kangaba,ML020307,Narena,6133,6420
RGPH,ML,Mali,ML02,Koulikouro,ML0203,Kangaba,ML020308,Nouga,5429,5628
RGPH,ML,Mali,ML02,Koulikouro,ML0203,Kangaba,ML020309,Selefougou,2304,2333
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020401,Baguineda Camp,26406,25415
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020402,Bancoumana,11836,11741
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020403,Bossofala,8437,8461
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020404,Bougoula,5418,5363
