annee,id,groupage,sexe,milieu,population,source,office
1976,15,70-74,Homme,Rural,28430,RGPH,DNSI
1976,16,75-79,Homme,Rural,15065,RGPH,DNSI
1976,17,80+,Homme,Rural,25958,RGPH,DNSI
1976,99,ND,Homme,Rural,272,RGPH,DNSI
1976,18,Total,Homme,Rural,2594518,RGPH,DNSI
1987,1,0-4,Homme,Rural,570042,RGPH,DNSI
1987,2,5-9,Homme,Rural,504220,RGPH,DNSI
1987,3,10-14,Homme,Rural,350884,RGPH,DNSI
1987,4,15-19,Homme,Rural,259898,RGPH,DNSI
1987,5,20-24,Homme,Rural,187325,RGPH,DNSI
1987,6,25-29,Homme,Rural,169337,RGPH,DNSI
1987,7,30-34,Homme,Rural,149525,RGPH,DNSI
1987,8,35-39,Homme,Rural,135984,RGPH,DNSI
1987,9,40-44,Homme,Rural,122166,RGPH,DNSI
1987,10,45-49,Homme,Rural,103306,RGPH,DNSI
1987,11,50-54,Homme,Rural,93518,RGPH,DNSI
1987,12,55-59,Homme,Rural,78004,RGPH,DNSI
1987,13,60-64,Homme,Rural,75337,RGPH,DNSI
1987,14,65-69,Homme,Rural,50884,RGPH,DNSI
1987,15,70-74,Homme,Rural,34032,RGPH,DNSI
1987,16,75-79,Homme,Rural,17615,RGPH,DNSI
1987,17,80+,Homme,Rural,21346,RGPH,DNSI
1987,99,ND,Homme,Rural,NA,RGPH,DNSI
1987,18,Total,Homme,Rural,2923423,RGPH,DNSI
1998,1,0-4,Homme,Rural,639956,RGPH,DNSI
1998,2,5-9,Homme,Rural,634087,RGPH,DNSI
1998,3,10-14,Homme,Rural,466814,RGPH,DNSI
1998,4,15-19,Homme,Rural,344813,RGPH,DNSI
1998,5,20-24,Homme,Rural,241740,RGPH,DNSI
1998,6,25-29,Homme,Rural,195391,RGPH,DNSI
1998,7,30-34,Homme,Rural,180430,RGPH,DNSI
1998,8,35-39,Homme,Rural,160115,RGPH,DNSI
1998,9,40-44,Homme,Rural,135344,RGPH,DNSI
1998,10,45-49,Homme,Rural,112047,RGPH,DNSI
1998,11,50-54,Homme,Rural,101676,RGPH,DNSI
1998,12,55-59,Homme,Rural,81231,RGPH,DNSI
1998,13,60-64,Homme,Rural,78635,RGPH,DNSI
1998,14,65-69,Homme,Rural,55009,RGPH,DNSI
1998,15,70-74,Homme,Rural,44004,RGPH,DNSI
1998,16,75-79,Homme,Rural,23832,RGPH,DNSI
1998,17,80+,Homme,Rural,19950,RGPH,DNSI
1998,99,ND,Homme,Rural,15742,RGPH,DNSI
1998,18,Total,Homme,Rural,3530816,RGPH,DNSI
2009,1,0-4,Homme,Rural,1096127,RGPH,DNSI
2009,2,5-9,Homme,Rural,1001589,RGPH,DNSI
2009,3,10-14,Homme,Rural,750026,RGPH,DNSI
2009,4,15-19,Homme,Rural,548879,RGPH,DNSI
2009,5,20-24,Homme,Rural,364818,RGPH,DNSI
2009,6,25-29,Homme,Rural,323161,RGPH,DNSI
2009,7,30-34,Homme,Rural,281331,RGPH,DNSI
2009,8,35-39,Homme,Rural,239818,RGPH,DNSI
2009,9,40-44,Homme,Rural,205039,RGPH,DNSI
2009,10,45-49,Homme,Rural,175485,RGPH,DNSI
2009,11,50-54,Homme,Rural,147421,RGPH,DNSI
2009,12,55-59,Homme,Rural,118914,RGPH,DNSI
2009,13,60-64,Homme,Rural,105793,RGPH,DNSI
2009,14,65-69,Homme,Rural,74069,RGPH,DNSI
2009,15,70-74,Homme,Rural,56890,RGPH,DNSI
2009,16,75-79,Homme,Rural,35273,RGPH,DNSI
2009,17,80+,Homme,Rural,36686,RGPH,DNSI
2009,99,ND,Homme,Rural,0,RGPH,DNSI
2009,18,Total,Homme,Rural,5561319,RGPH,DNSI
1976,1,0-4,Femme,Urbain,99453,RGPH,DNSI
1976,2,5-9,Femme,Urbain,82665,RGPH,DNSI
1976,3,10-14,Femme,Urbain,65075,RGPH,DNSI
1976,4,15-19,Femme,Urbain,60765,RGPH,DNSI
1976,5,20-24,Femme,Urbain,47487,RGPH,DNSI
