Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,female,male,total,source
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Tomora,ML010113,2015,20392,19112,39504,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Sidibela,ML010112,2015,4849,4419,9268,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Niambia,ML010110,2015,4557,4556,9113,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Kontela,ML010107,2015,13657,12723,26380,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Diallan,ML010104,2015,9088,8934,18022,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Diakon,ML010103,2015,21708,19691,41399,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Bafoulabe,ML010101,2015,12193,12048,24241,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Sitakily,ML010412,2015,17182,19799,36981,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Sagalo,ML010411,2015,9272,8251,17523,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Guenegore,ML010407,2015,4095,3983,8078,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Baye,ML010401,2015,9140,8825,17966,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Kita Commune,ML010513,2015,30647,29500,60147,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Niantanso,ML010524,2015,3174,3118,6292,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Sobra,ML020434,2015,6117,5909,12026,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Makano,ML010522,2015,6799,6727,13526,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Bossofala,ML020403,2015,10378,10349,20727,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Mountougoula,ML020422,2015,10098,9808,19906,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,N'gouraba,ML020424,2015,10859,10846,21705,OCHA
Mali,ML,Sikasso,ML03,Bougouni,ML0301,Tiemala Banimonotie,ML030122,2015,10476,10097,20573,OCHA
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Tougouni,ML020609,2015,7685,7746,15431,OCHA
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Dinandougou,ML020601,2015,13234,12967,26201,OCHA
Mali,ML,Segou,ML04,Baroueli,ML0401,Boidie,ML040102,2015,13581,13471,27052,OCHA
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Nyamina,ML020606,2015,21933,21961,43894,OCHA
Mali,ML,Segou,ML04,Baroueli,ML0401,Tamani,ML040110,2015,8281,7736,16017,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Gadougou 1,ML010509,2015,15778,15342,31120,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Djougoun,ML010508,2015,5421,4920,10341,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Bougarybaya,ML010505,2015,6444,5925,12368,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Badia,ML010501,2015,4476,4277,8753,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Fegui,ML010306,2015,2372,2452,4823,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Kayes Commune,ML010312,2015,75037,79883,154920,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Tafacirga,ML010328,2015,5509,5683,11192,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Sero Diamanou,ML010325,2015,14382,14241,28623,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Segala,ML010324,2015,15847,15799,31645,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Sahel,ML010322,2015,7590,7405,14995,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Sadiola,ML010321,2015,23173,25159,48332,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Logo,ML010318,2015,7318,7385,14703,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Koussane,ML010316,2015,13635,12843,26478,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Hawa Dembaya,ML010310,2015,4225,4177,8402,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Faleme,ML010305,2015,6153,6305,12458,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Djelebou,ML010304,2015,14829,14062,28891,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Diamou,ML010303,2015,8603,8726,17329,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,N'tjiba,ML020427,2015,13663,13067,26730,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Kotouba,ML010518,2015,3558,3577,7135,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Daban,ML020405,2015,6841,6847,13688,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Kassaro,ML010512,2015,13408,13090,26498,OCHA
Mali,ML,Sikasso,ML03,Bougouni,ML0301,Bougouni Commune,ML030102,2015,35517,36283,71800,OCHA
