Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,homme,femme,total,source
Mali,ML,Kayes,ML01,Diema,ML0102,Sansankide,ML010215,2009,2435,2538,4973,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Baye,ML010401,2009,19413,19322,38735,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Dabia,ML010402,2009,7334,7845,15179,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Dialafara,ML010403,2009,9030,8931,17961,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Dombia,ML010404,2009,3662,3920,7582,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Falea,ML010405,2009,8651,8794,17445,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Faraba,ML020414,2009,6184,6173,12357,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Faraba,ML010406,2009,3844,3928,7772,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Guenegore,ML010407,2009,3248,3339,6587,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Kassama,ML010408,2009,9503,9959,19462,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Kenieba,ML010409,2009,17884,17767,35651,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Kouroukoto,ML010410,2009,5069,5251,10320,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Sagalo,ML010411,2009,6728,7560,14288,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Sitakily,ML010412,2009,16144,14010,30154,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Badia,ML010501,2009,3487,3650,7137,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Bendougouba,ML010502,2009,5882,6043,11925,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Benkadi Founia,ML010503,2009,4627,4657,9284,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Boudofo,ML010504,2009,2263,2214,4477,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Bougarybaya,ML010505,2009,4831,5254,10085,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Dindanko,ML010506,2009,4927,5020,9947,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Djidian,ML010507,2009,7883,8509,16392,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Djougoun,ML010508,2009,4012,4420,8432,RGPH
