Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,female,male,total,source
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Diouradougou Kafo,ML030402,2017,6104,5913,12017,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Banco,ML020201,2017,22009,20839,42848,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Zan Coulibaly,ML020223,2017,12024,11998,24022,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,N'golobougou,ML020219,2017,14506,13880,28386,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Kerela,ML020213,2017,8245,8159,16404,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Degnekoro,ML020204,2017,6754,6344,13098,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Binko,ML020203,2017,13055,12796,25851,OCHA
Mali,ML,Koulikouro,ML02,Nara,ML0207,Ouagadou,ML020711,2017,12119,11566,23685,OCHA
Mali,ML,Koulikouro,ML02,Nara,ML0207,Niamana,ML020710,2017,18514,17969,36483,OCHA
Mali,ML,Koulikouro,ML02,Nara,ML0207,Nara,ML020709,2017,19516,18944,38460,OCHA
Mali,ML,Koulikouro,ML02,Nara,ML0207,Koronga,ML020708,2017,7114,7191,14305,OCHA
Mali,ML,Koulikouro,ML02,Nara,ML0207,Guire,ML020707,2017,12782,13040,25822,OCHA
Mali,ML,Koulikouro,ML02,Nara,ML0207,Gueneibe,ML020706,2017,5625,5744,11369,OCHA
Mali,ML,Sikasso,ML03,Yanfolila,ML0306,Gouanan,ML030605,2017,16658,15976,32634,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Tiele,ML020436,2017,12221,11807,24028,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Kemekafo,ML020212,2017,15826,15920,31746,OCHA
Mali,ML,Sikasso,ML03,Yanfolila,ML0306,Sere Moussa Ani Samo,ML030609,2017,12295,12108,24403,OCHA
Mali,ML,Sikasso,ML03,Sikasso,ML0305,Koumankou,ML030523,2017,5843,5790,11633,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Diebe,ML020205,2017,5944,5364,11308,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Jekafo,ML020210,2017,4417,4210,8627,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Nangola,ML020216,2017,12260,11913,24173,OCHA
Mali,ML,Koulikouro,ML02,Nara,ML0207,Fallou,ML020705,2017,19741,19282,39023,OCHA
Mali,ML,Koulikouro,ML02,Nara,ML0207,Dogofry,ML020704,2017,23079,21947,45026,OCHA
Mali,ML,Koulikouro,ML02,Nara,ML0207,Dilly,ML020703,2017,24885,25070,49955,OCHA
Mali,ML,Koulikouro,ML02,Nara,ML0207,Dabo,ML020702,2017,7916,7186,15102,OCHA
Mali,ML,Koulikouro,ML02,Nara,ML0207,Allahina,ML020701,2017,7819,7242,15061,OCHA
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Boron,ML020103,2017,24956,24553,49509,OCHA
Mali,ML,Sikasso,ML03,Bougouni,ML0301,Bladie-Tiemala,ML030101,2017,3141,2840,5981,OCHA
Mali,ML,Sikasso,ML03,Bougouni,ML0301,Faragouaran,ML030109,2017,7092,6581,13673,OCHA
Mali,ML,Segou,ML04,Macina,ML0403,Monimpebougou,ML040307,2017,22421,21691,44112,OCHA
Mali,ML,Segou,ML04,Macina,ML0403,Macina,ML040305,2017,24101,23023,47124,OCHA
Mali,ML,Segou,ML04,Macina,ML0403,Kolongo,ML040304,2017,22894,21504,44398,OCHA
Mali,ML,Segou,ML04,Macina,ML0403,Kokry Centre,ML040303,2017,11307,11408,22715,OCHA
Mali,ML,Segou,ML04,Macina,ML0403,Folomana,ML040302,2017,5469,5457,10926,OCHA
Mali,ML,Segou,ML04,Macina,ML0403,Boky Were,ML040301,2017,9948,10062,20010,OCHA
Mali,ML,Segou,ML04,Tominian,ML0407,Tominian,ML040711,2017,16282,16266,32548,OCHA
Mali,ML,Mopti,ML05,Djenne,ML0503,Djenne Commune,ML050303,2017,16817,17302,34119,OCHA
Mali,ML,Mopti,ML05,Djenne,ML0503,Pondori,ML050311,2017,6583,6394,12977,OCHA
Mali,ML,Mopti,ML05,Djenne,ML0503,Nema Badenyakafo,ML050308,2017,30492,29779,60271,OCHA
Mali,ML,Mopti,ML05,Djenne,ML0503,Madiama,ML050307,2017,7921,7449,15370,OCHA
Mali,ML,Mopti,ML05,Djenne,ML0503,Derrary,ML050302,2017,4701,4342,9043,OCHA
Mali,ML,Mopti,ML05,Douentza,ML0504,Douentza Commune,ML050406,2017,15114,16067,31181,OCHA
Mali,ML,Mopti,ML05,Douentza,ML0504,Tedie,ML050415,2017,5880,5540,11420,OCHA
Mali,ML,Mopti,ML05,Douentza,ML0504,Mondoro,ML050413,2017,26409,28399,54808,OCHA
Mali,ML,Mopti,ML05,Douentza,ML0504,Korarou,ML050411,2017,2099,2381,4480,OCHA
Mali,ML,Mopti,ML05,Douentza,ML0504,Kerena,ML050410,2017,2468,2601,5069,OCHA
Mali,ML,Mopti,ML05,Douentza,ML0504,Hombori,ML050409,2017,15005,15004,30009,OCHA
Mali,ML,Mopti,ML05,Douentza,ML0504,Haire,ML050408,2017,19423,19556,38979,OCHA
Mali,ML,Mopti,ML05,Douentza,ML0504,Gandamia,ML050407,2017,3826,3916,7742,OCHA
Mali,ML,Mopti,ML05,Douentza,ML0504,Djaptodji,ML050405,2017,23223,23841,47064,OCHA
Mali,ML,Mopti,ML05,Douentza,ML0504,Dianwely,ML050404,2017,5576,5658,11234,OCHA
Mali,ML,Mopti,ML05,Douentza,ML0504,Debere,ML050403,2017,4569,4462,9031,OCHA
Mali,ML,Mopti,ML05,Douentza,ML0504,Dangol Bore,ML050402,2017,17325,17149,34474,OCHA
Mali,ML,Mopti,ML05,Mopti,ML0506,Mopti Commune,ML050609,2017,78856,78042,156898,OCHA
Mali,ML,Mopti,ML05,Mopti,ML0506,Sasalbe,ML050612,2017,3967,3821,7788,OCHA
Mali,ML,Sikasso,ML03,Bougouni,ML0301,Zantiebougou,ML030126,2017,23515,22952,46467,OCHA
Mali,ML,Sikasso,ML03,Bougouni,ML0301,Kokele,ML030112,2017,4196,4218,8414,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Mande,ML020420,2017,37178,37333,74511,OCHA
Mali,ML,Mopti,ML05,Koro,ML0505,Yoro,ML050515,2017,12626,12196,24822,OCHA
Mali,ML,Mopti,ML05,Koro,ML0505,Madougou,ML050513,2017,19263,18332,37595,OCHA
Mali,ML,Mopti,ML05,Koro,ML0505,Koro,ML050512,2017,41367,40911,82278,OCHA
Mali,ML,Mopti,ML05,Koro,ML0505,Koporokendie Na,ML050511,2017,12154,11881,24035,OCHA
Mali,ML,Mopti,ML05,Koro,ML0505,Koporo Pen,ML050510,2017,12320,12055,24375,OCHA
Mali,ML,Mopti,ML05,Koro,ML0505,Kassa,ML050509,2017,12866,11685,24551,OCHA
Mali,ML,Mopti,ML05,Koro,ML0505,Dougoutene 2,ML050508,2017,14060,13276,27336,OCHA
Mali,ML,Mopti,ML05,Koro,ML0505,Dougoutene 1,ML050507,2017,13764,13423,27187,OCHA
Mali,ML,Mopti,ML05,Koro,ML0505,Diougani,ML050506,2017,21439,20840,42279,OCHA
Mali,ML,Mopti,ML05,Koro,ML0505,Dinangourou,ML050505,2017,21491,21144,42635,OCHA
Mali,ML,Mopti,ML05,Koro,ML0505,Diankabou,ML050504,2017,7567,7519,15086,OCHA
Mali,ML,Mopti,ML05,Koro,ML0505,Bondo,ML050503,2017,12839,12610,25449,OCHA
Mali,ML,Mopti,ML05,Bankass,ML0502,Ouonkoro,ML050208,2017,14474,15014,29488,OCHA
Mali,ML,Mopti,ML05,Bankass,ML0502,Sokoura,ML050210,2017,24875,25219,50094,OCHA
Mali,ML,Mopti,ML05,Bankass,ML0502,Tori,ML050212,2017,11940,11455,23395,OCHA
Mali,ML,Mopti,ML05,Bankass,ML0502,Baye,ML050202,2017,25098,25217,50315,OCHA
Mali,ML,Mopti,ML05,Bankass,ML0502,Diallassagou,ML050203,2017,14877,14621,29498,OCHA
Mali,ML,Mopti,ML05,Bankass,ML0502,Koulogon Habe,ML050206,2017,9566,9282,18848,OCHA
Mali,ML,Mopti,ML05,Bankass,ML0502,Segue,ML050209,2017,14590,14074,28664,OCHA
Mali,ML,Mopti,ML05,Bankass,ML0502,Soubala,ML050211,2017,7022,6856,13878,OCHA
