Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,female,male,total,source
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Tomora,ML010113,2013,18025.91375879,19232.3452301977,37258.2589889877,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Sidibela,ML010112,2013,4167.56720180443,4573.56667108929,8741.13387289372,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Niambia,ML010110,2013,4297.11689000929,4298.27358365397,8595.39047366326,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Kontela,ML010107,2013,10738.5992658314,10974.6378662225,21713.2371320538,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Diallan,ML010104,2013,8426.51320153907,8571.09990712485,16997.6131086639,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Diakon,ML010103,2013,18571.8731590819,20473.477510946,39045.3506700279,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Bafoulabe,ML010101,2013,11363.3583653974,11499.8482154703,22863.2065808677,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Sitakily,ML010412,2013,18673.6226541487,16205.2436437452,34878.8662978939,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Sagalo,ML010411,2013,7782.21836082213,8744.58543516874,16526.8037959909,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Guenegore,ML010407,2013,3756.9330017762,3862.19190053286,7619.12490230906,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Baye,ML010401,2013,8323.5498401421,8620.81947729003,16944.3693174321,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Kita Commune,ML010513,2013,27823.06116787,28904.5678691238,56727.6290369939,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Niantanso,ML010524,2013,2940.31019741938,2993.51801373774,5933.82821115712,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Sobra,ML020434,2013,5572.51771146785,5769.1811972369,11341.6989087048,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Makano,ML010522,2013,6344.45375013583,6412.69855802243,12757.1523081583,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Bossofala,ML020403,2013,9760.29311431477,9788.05737112923,19548.350485444,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Mountougoula,ML020422,2013,9250.12489534917,9523.14008735797,18773.2649827071,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,N'gouraba,ML020424,2013,10228.8149480587,10241.540232432,20470.3551804907,OCHA
Mali,ML,Sikasso,ML03,Bougouni,ML0301,Tiemala Banimonotie,ML030122,2013,9523.92632364038,9881.42064264,19405.3469662804,OCHA
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Tougouni,ML020609,2013,7305.46771061341,7247.62552763151,14553.0932382449,OCHA
