Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,homme,femme,total,source
Mali,ML,Kayes,ML01,Diema,ML0102,Sansankide,ML010215,1998,1783,1864,3647,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Baye,ML010401,1998,13444,12948,26392,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Dabia,ML010402,1998,4487,4660,9147,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Dialafara,ML010403,1998,6816,6905,13721,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Dombia,ML010404,1998,4267,4719,8986,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Falea,ML010405,1998,6479,6694,13173,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Faraba,ML020414,1998,4689,4865,9554,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Faraba,ML010406,1998,3401,3376,6777,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Guenegore,ML010407,1998,4852,4998,9850,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Kassama,ML010408,1998,8486,8738,17224,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Kenieba,ML010409,1998,12859,13055,25914,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Kouroukoto,ML010410,1998,2650,2465,5115,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Sagalo,ML010411,1998,5001,5228,10229,RGPH
Mali,ML,Kayes,ML01,Kenieba,ML0104,Sitakily,ML010412,1998,7024,6856,13880,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Badia,ML010501,1998,2890,3005,5895,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Bendougouba,ML010502,1998,7075,7213,14288,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Benkadi Founia,ML010503,1998,3342,3388,6730,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Boudofo,ML010504,1998,1490,1442,2932,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Bougarybaya,ML010505,1998,2889,3027,5916,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Dindanko,ML010506,1998,3383,3317,6700,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Djidian,ML010507,1998,6160,6250,12410,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Djougoun,ML010508,1998,3315,3602,6917,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Gadougou 1,ML010509,1998,8090,8296,16386,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Gadougou 2,ML010510,1998,2314,2354,4668,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Guemoukouraba,ML010511,1998,2882,3400,6282,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kassaro,ML010512,1998,5885,6033,11918,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kita Commune,ML010513,1998,15852,16009,31861,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kita Nord,ML010514,1998,3e3,2969,5969,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kita Ouest,ML010515,1998,5774,5967,11741,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kobri,ML010516,1998,6354,6142,12496,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kokofata,ML010517,1998,7090,7248,14338,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kotouba,ML010518,1998,1131,1190,2321,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Koulou,ML010519,1998,2690,2751,5441,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kourounikoto,ML010520,1998,1613,1634,3247,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Madina,ML010521,1998,6687,6760,13447,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Makano,ML010522,1998,4087,4054,8141,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Namala Guimba,ML010523,1998,4318,4272,8590,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Niantanso,ML010524,1998,1985,2020,4005,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Saboula,ML010525,1998,3805,3258,7063,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Sebekoro,ML010526,1998,9133,9310,18443,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Sefeto Nord,ML010527,1998,3845,4192,8037,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Sefeto Ouest,ML010528,1998,7134,7556,14690,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Senko,ML010529,1998,3870,3943,7813,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Sirakoro,ML010530,1998,4440,4409,8849,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Souransan Tomoto,ML010531,1998,2496,2508,5004,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Tambaga,ML010532,1998,3482,3643,7125,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Toukoto,ML010533,1998,3385,3097,6482,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Baniere Kore,ML010601,1998,2501,2332,4833,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Diabigue,ML010602,1998,3773,3790,7563,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Diarra,ML010603,1998,2745,2910,5655,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Diaye Coura,ML010604,1998,4682,5144,9826,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Gavinane,ML010605,1998,5008,5358,10366,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Gogui,ML010606,1998,4573,5067,9640,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Guetema,ML010607,1998,3688,3934,7622,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Kadiaba Kadiel,ML010608,1998,3948,3949,7897,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Korera Kore,ML010609,1998,6990,7806,14796,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Nioro Commune,ML010610,1998,10884,11382,22266,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Nioro Tougoune Ranga,ML010611,1998,5273,4911,10184,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Sandare,ML010612,1998,8015,8510,16525,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Simbi,ML010613,1998,6066,6537,12603,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Troungoumbe,ML010614,1998,4759,5229,9988,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Yerere,ML010615,1998,5726,6157,11883,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Youri,ML010616,1998,1913,2148,4061,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Diafounou Diongaga,ML010701,1998,3381,3696,7077,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Diafounou Gory,ML010702,1998,6704,7457,14161,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Fanga,ML010703,1998,2559,2811,5370,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Gory,ML010704,1998,3954,4690,8644,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Guidime,ML010705,1998,12793,14328,27121,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Kirane Kaniaga,ML010706,1998,11119,12610,23729,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Kremis,ML010708,1998,3206,3529,6735,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Marekaffo,ML010709,1998,1577,1822,3399,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Soumpou,ML010710,1998,1661,1698,3359,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Toya,ML010711,1998,4131,4777,8908,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Tringa,ML010712,1998,4581,5355,9936,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Dinandougou,ML020601,1998,7581,7527,15108,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Doumba,ML020602,1998,2974,3117,6091,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Koula,ML020603,1998,10266,10533,20799,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Koulikoro Commune,ML020604,1998,14237,14433,28670,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Meguetan,ML020605,1998,8537,8440,16977,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Nyamina,ML020606,1998,13362,13697,27059,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Sirakorola,ML020607,1998,12940,13103,26043,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Tienfala,ML020608,1998,2039,1997,4036,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Tougouni,ML020609,1998,4318,4384,8702,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Banamba,ML020101,1998,11755,12178,23933,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Boron,ML020103,1998,15223,15090,30313,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Duguwolowula,ML020104,1998,16204,16210,32414,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Kiban,ML020105,1998,4520,4559,9079,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Madina Sacko,ML020106,1998,8507,8808,17315,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Sebete,ML020107,1998,1503,1588,3091,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Toubacoro,ML020108,1998,5146,5141,10287,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Toukoroba,ML020109,1998,4489,4542,9031,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Banco,ML020201,1998,12011,12585,24596,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Benkadi,ML020202,1998,2998,3035,6033,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Binko,ML020203,1998,6559,6703,13262,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Degnekoro,ML020204,1998,3397,3661,7058,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Diebe,ML020205,1998,3089,3363,6452,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Diedougou,ML020206,1998,2152,2200,4352,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Diouman,ML020207,1998,5422,5472,10894,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Dolendougou,ML020208,1998,4802,4981,9783,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Guegneka,ML020209,1998,13944,13460,27404,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Jekafo,ML020210,1998,2509,2353,4862,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Kaladougou,ML020211,1998,12031,11792,23823,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Kemekafo,ML020212,1998,8479,8486,16965,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Kerela,ML020213,1998,3628,3596,7224,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Kilidougou,ML020214,1998,5855,6190,12045,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Massigui,ML020215,1998,21002,21663,42665,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Nangola,ML020216,1998,6758,6845,13603,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,N'dlondougou,ML020217,1998,7048,7052,14100,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,N'garadougou,ML020218,1998,5075,5038,10113,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,N'golobougou,ML020219,1998,7475,7729,15204,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Niantjila,ML020220,1998,5886,6265,12151,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Tenindougou,ML020221,1998,4959,4910,9869,RGPH
